City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
82,Puerto Baquerizo Moreno,EC,2021-04-16 19:50:38,-0.9,-89.6,102.2,42,75,10.36
83,Madang,PG,2021-04-16 19:50:39,-5.2246,145.7966,76.64,90,96,2.06
84,Sudislavl,RU,2021-04-16 19:50:39,57.8817,41.7083,42.84,72,44,9.55
85,Padre Paraiso,BR,2021-04-16 19:50:39,-17.0742,-41.4844,72.03,58,41,4.32
86,Mar Del Plata,AR,2021-04-16 19:50:40,-38.0023,-57.5575,68.0,83,20,4.61
87,Toyooka,JP,2021-04-16 19:50:40,35.5333,134.8333,56.16,95,100,5.35
88,Den Helder,NL,2021-04-16 19:50:40,52.9599,4.7593,44.01,81,1,8.05
89,Bengkulu,ID,2021-04-16 19:50:41,-3.8004,102.2655,74.89,90,99,2.82
90,Cabo San Lucas,MX,2021-04-16 19:48:01,22.8909,-109.9124,86.0,23,20,11.5
91,Lasa,IT,2021-04-16 19:50:41,46.6166,10.7002,51.8,47,0,3.44
92,Hasaki,JP,2021-04-16 19:50:41,35.7333,140.8333,55.4,88,75,4.61
93,Estelle,US,2021-04-16 19:50:42,29.8458,-90.1067,66.2,94,90,12.66
94,Olga,RU,2021-04-16 19:50:42,43.7444,135.2892,39.36,97,100,2.71
95,Seoul,KR,2021-04-16 19:49:53,37.5683,126.9778,41.0,93,0,1.14
96,Souillac,MU,2021-04-16 19:50:42,-20.5167,57.5167,77.0,94,75,5.75
97,Yeniseysk,RU,2021-04-16 19:50:43,58.4497,92.1703,19.49,75,64,11.72
98,Havelock,US,2021-04-16 19:50:43,34.8791,-76.9013,66.2,32,1,6.91
99,Qaanaaq,GL,2021-04-16 19:50:43,77.484,-69.3632,6.04,71,0,1.7
100,Constantine,DZ,2021-04-16 19:50:44,36.365,6.6147,46.4,93,75,13.8
101,Dunedin,NZ,2021-04-16 19:50:34,-45.8742,170.5036,48.0,66,12,11.99
102,Bredasdorp,ZA,2021-04-16 19:50:44,-34.5322,20.0403,59.0,72,0,10.36
103,Busselton,AU,2021-04-16 19:50:44,-33.65,115.3333,57.99,85,67,4.0
104,Longyearbyen,SJ,2021-04-16 19:50:44,78.2186,15.6401,15.8,62,20,8.05
105,Nuuk,GL,2021-04-16 19:50:45,64.1835,-51.7216,14.0,67,75,4.61
106,Taunsa,PK,2021-04-16 19:48:12,30.7048,70.6505,68.25,64,53,6.98
107,Komsomolskiy,UZ,2021-04-16 19:50:45,40.4272,71.7189,59.0,55,18,6.91
108,Nikolskoye,RU,2021-04-16 19:50:45,59.7035,30.7861,48.2,34,0,13.42
109,Palmer,US,2021-04-16 19:50:46,42.1584,-72.3287,37.99,93,90,14.97
110,Sao Felix Do Xingu,BR,2021-04-16 19:50:46,-6.6447,-51.995,80.37,91,100,1.74
111,Fort Nelson,CA,2021-04-16 19:50:46,58.8053,-122.7002,55.4,33,40,3.44
112,Cherskiy,RU,2021-04-16 19:50:47,68.75,161.3,4.32,95,75,6.53
